date,tickqty
2019-01-02 22:00:00,340176
2019-01-03 22:00:00,483371
2019-01-04 22:00:00,398291
2019-01-06 22:00:00,81
2019-01-07 22:00:00,276951
2019-01-08 22:00:00,287179
2019-01-09 22:00:00,399251
2019-01-10 22:00:00,360354
2019-01-11 22:00:00,332101
2019-01-13 22:00:00,709
2019-01-14 22:00:00,289327
2019-01-15 22:00:00,388202
2019-01-16 22:00:00,297144
2019-01-17 22:00:00,318405
2019-01-18 22:00:00,276534
2019-01-20 22:00:00,80
2019-01-21 22:00:00,179750
2019-01-22 22:00:00,257058
2019-01-23 22:00:00,272818
2019-01-24 22:00:00,425912
2019-01-25 22:00:00,372296
2019-01-27 22:00:00,217
2019-01-28 22:00:00,263424
2019-01-29 22:00:00,339077
2019-01-30 22:00:00,368378
2019-01-31 22:00:00,364420
2019-02-01 22:00:00,312732
2019-02-03 22:00:00,404
2019-02-04 22:00:00,248230
2019-02-05 22:00:00,246267
2019-02-06 22:00:00,230583
2019-02-07 22:00:00,251148
2019-02-08 22:00:00,200086
2019-02-10 22:00:00,316
2019-02-11 22:00:00,220776
2019-02-12 22:00:00,227745
2019-02-13 22:00:00,239017
2019-02-14 22:00:00,298849
2019-02-15 22:00:00,265715
2019-02-17 22:00:00,260
2019-02-18 22:00:00,153387
2019-02-19 22:00:00,275465
2019-02-20 22:00:00,272187
2019-02-21 22:00:00,314423
2019-02-22 22:00:00,243089
2019-02-24 22:00:00,326
2019-02-25 22:00:00,230976
2019-02-26 22:00:00,269827
2019-02-27 22:00:00,270772
2019-02-28 22:00:00,315490
2019-03-01 22:00:00,281850
2019-03-03 22:00:00,522
2019-03-04 22:00:00,231625
2019-03-05 22:00:00,249313
2019-03-06 22:00:00,225834
2019-03-07 22:00:00,336747
2019-03-08 22:00:00,295019
2019-03-10 21:00:00,116
2019-03-11 21:00:00,235227
2019-03-12 21:00:00,313328
2019-03-13 21:00:00,236055
2019-03-14 21:00:00,260631
2019-03-15 21:00:00,218940
2019-03-17 21:00:00,62
2019-03-18 21:00:00,192808
2019-03-19 21:00:00,201860
2019-03-20 21:00:00,306110
2019-03-21 21:00:00,319898
2019-03-22 21:00:00,369345
2019-03-24 21:00:00,101
2019-03-25 21:00:00,246409
2019-03-26 21:00:00,266589
2019-03-27 21:00:00,335193
2019-03-28 21:00:00,302419
2019-03-29 21:00:00,298193
2019-03-31 21:00:00,994
2019-04-01 21:00:00,264522
2019-04-02 21:00:00,238064
2019-04-03 21:00:00,232216
2019-04-04 21:00:00,203795
2019-04-05 21:00:00,190766
2019-04-07 21:00:00,1
2019-04-08 21:00:00,166305
2019-04-09 21:00:00,192318
2019-04-10 21:00:00,219150
2019-04-11 21:00:00,185630
2019-04-12 21:00:00,196979
2019-04-14 21:00:00,218
2019-04-15 21:00:00,169395
2019-04-16 21:00:00,234445
2019-04-17 21:00:00,197578
2019-04-18 21:00:00,250150
2019-04-19 21:00:00,77642
2019-04-21 21:00:00,56
2019-04-22 21:00:00,73927
2019-04-23 21:00:00,185529
2019-04-24 21:00:00,261347
2019-04-25 21:00:00,224993
2019-04-26 21:00:00,252074
2019-04-28 21:00:00,218
2019-04-29 21:00:00,143355
2019-04-30 21:00:00,216643
2019-05-01 21:00:00,222756
2019-05-02 21:00:00,196982
2019-05-03 21:00:00,219730
2019-05-05 21:00:00,828
2019-05-06 21:00:00,175551
2019-05-07 21:00:00,208705
2019-05-08 21:00:00,249385
2019-05-09 21:00:00,278236
2019-05-10 21:00:00,228179
2019-05-12 21:00:00,59
2019-05-13 21:00:00,198307
2019-05-14 21:00:00,169215
2019-05-15 21:00:00,206856
2019-05-16 21:00:00,161824
2019-05-17 21:00:00,189162
2019-05-19 21:00:00,370
2019-05-20 21:00:00,139114
2019-05-21 21:00:00,182280
2019-05-22 21:00:00,143113
2019-05-23 21:00:00,189430
2019-05-24 21:00:00,142327
2019-05-26 21:00:00,204
2019-05-27 21:00:00,61067
2019-05-28 21:00:00,153628
2019-05-29 21:00:00,167843
2019-05-30 21:00:00,132186
2019-05-31 21:00:00,211219
2019-06-02 21:00:00,217
2019-06-03 21:00:00,212859
2019-06-04 21:00:00,229483
